block_number,timestamp,contract_address,method,amount
9234043,2024-11-11T13:01:13.000Z,0x22d89f64561a3a6d9aeae732cf249f425d2d49ff,WithdrawERC20,940000000
10134374,2024-12-02T09:12:15.000Z,0x2bcc70980a6fe3d6726481ae099f99a8aca4326b,WithdrawERC20,847670200000000000
